step: 129, loss: 2.9486, flops: 1292779862.61
step: 130, loss: 3.1044, flops: 1284163343.48
step: 131, loss: 3.1614, flops: 1275808536.77
step: 132, loss: 3.1298, flops: 1267622326.86
step: 133, loss: 3.0830, flops: 1259600322.46
step: 134, loss: 3.1648, flops: 1251392686.00
step: 135, loss: 3.1310, flops: 1243423658.07
step: 136, loss: 3.0659, flops: 1235619272.21
step: 137, loss: 3.0202, flops: 1227955269.25
step: 138, loss: 3.2000, flops: 1220236270.51
step: 139, loss: 3.0108, flops: 1212695383.75
step: 140, loss: 2.9944, flops: 1205210120.05
step: 141, loss: 3.1060, flops: 1197742859.47
step: 142, loss: 2.9703, flops: 1190435433.83
step: 143, loss: 3.0439, flops: 1183340057.70
step: 144, loss: 3.1225, flops: 1176303379.38
step: 145, loss: 3.0588, flops: 1169331081.19
step: 146, loss: 3.0088, flops: 1162370723.55
step: 147, loss: 3.0332, flops: 1155683260.63
step: 148, loss: 3.1014, flops: 1148927003.66
step: 149, loss: 3.0937, flops: 1142000029.57
step: 150, loss: 3.1054, flops: 1135211237.75
step: 151, loss: 3.0941, flops: 1128688952.61
step: 152, loss: 3.1745, flops: 1122302796.03
step: 153, loss: 3.0730, flops: 1115888240.58
step: 154, loss: 3.0464, flops: 1109525265.85
step: 155, loss: 3.0587, flops: 1102982708.78
step: 156, loss: 3.0891, flops: 1096586092.67
step: 157, loss: 3.0924, flops: 1090488602.60
step: 158, loss: 3.0426, flops: 1084480719.66
step: 159, loss: 3.0143, flops: 1078427844.48
step: 160, loss: 2.9944, flops: 1072425165.77
step: 161, loss: 3.2174, flops: 1066617617.80
step: 162, loss: 2.9661, flops: 1060935142.53
step: 163, loss: 3.1353, flops: 1055209623.80
step: 164, loss: 3.0933, flops: 1049342984.90
step: 165, loss: 3.2010, flops: 1043431917.93
step: 166, loss: 3.0093, flops: 1037757158.06
step: 167, loss: 3.0456, flops: 1032184503.13
step: 168, loss: 3.1287, flops: 1026792774.22
step: 169, loss: 3.0723, flops: 1021450701.45
step: 170, loss: 3.1996, flops: 1016208652.01
step: 171, loss: 3.0020, flops: 1011002423.70
step: 172, loss: 3.0861, flops: 1005911650.76
step: 173, loss: 3.0235, flops: 1000793798.40
step: 174, loss: 2.9967, flops: 995719676.23
step: 175, loss: 3.2607, flops: 990631737.17
step: 176, loss: 3.1439, flops: 985585136.27
step: 177, loss: 2.9922, flops: 980734251.44
step: 178, loss: 3.1889, flops: 975856150.84
step: 179, loss: 3.1765, flops: 971017208.28
step: 180, loss: 3.1026, flops: 966208893.12
step: 181, loss: 3.1415, flops: 961541233.32
step: 182, loss: 3.0180, flops: 956746314.85
step: 183, loss: 2.9573, flops: 952103821.46
step: 184, loss: 3.3149, flops: 947476888.61
step: 185, loss: 3.1145, flops: 942945902.36
step: 186, loss: 3.1732, flops: 938502474.89
step: 187, loss: 3.2594, flops: 934047379.27
step: 188, loss: 2.9077, flops: 929594750.03
step: 189, loss: 2.9786, flops: 925047874.91
step: 190, loss: 3.0550, flops: 920705485.40
step: 191, loss: 3.1119, flops: 916458878.07
step: 192, loss: 3.0258, flops: 912233454.94
step: 193, loss: 2.9638, flops: 908016987.08
step: 194, loss: 2.9539, flops: 903830992.92
step: 195, loss: 3.0567, flops: 899524654.74
step: 196, loss: 2.9145, flops: 895431124.92
step: 197, loss: 3.1171, flops: 891320435.92
step: 198, loss: 3.1953, flops: 887262559.40
step: 199, loss: 3.0440, flops: 883210459.39
step: 200, loss: 2.9659, flops: 879240894.15
step: 201, loss: 3.1651, flops: 875254541.69
step: 202, loss: 2.9035, flops: 871405148.16
step: 203, loss: 3.1478, flops: 867591383.56
step: 204, loss: 3.0598, flops: 863756109.49
step: 205, loss: 3.1272, flops: 859949695.97
step: 206, loss: 3.0261, flops: 856262601.07
step: 207, loss: 3.0881, flops: 852558838.13
step: 208, loss: 3.0112, flops: 848904236.41
step: 209, loss: 2.9779, flops: 845164346.32
